Training...
episode: 40700  return: -4.78   mean: -4.90  time: 10.96s
episode: 40800  return: -5.51   mean: -4.94  time: 10.19s
episode: 40900  return: -4.74   mean: -4.77  time: 10.05s
episode: 41000  return: -4.70   mean: -4.74  time: 10.08s
episode: 41100  return: -4.31   mean: -4.75  time: 9.84s
episode: 41200  return: -4.33   mean: -4.78  time: 10.06s
episode: 41300  return: -5.73   mean: -4.81  time: 10.22s
episode: 41400  return: -4.35   mean: -4.64  time: 10.76s
episode: 41500  return: -5.11   mean: -4.68  time: 9.84s
episode: 41600  return: -4.93   mean: -4.71  time: 10.40s
episode: 41700  return: -4.99   mean: -4.76  time: 9.91s
episode: 41800  return: -5.20   mean: -4.85  time: 10.16s
episode: 41900  return: -4.56   mean: -4.84  time: 10.44s
episode: 42000  return: -5.64   mean: -4.86  time: 10.03s
episode: 42100  return: -3.93   mean: -4.87  time: 9.61s
episode: 42200  return: -4.60   mean: -4.88  time: 10.28s
episode: 42300  return: -4.46   mean: -4.68  time: 11.15s
episode: 42400  return: -4.02   mean: -4.77  time: 9.75s
episode: 42500  return: -4.26   mean: -4.74  time: 10.19s
episode: 42600  return: -5.31   mean: -4.82  time: 10.31s
episode: 42700  return: -4.78   mean: -4.86  time: 10.09s
episode: 42800  return: -4.93   mean: -4.76  time: 9.95s
episode: 42900  return: -4.30   mean: -4.75  time: 9.72s
episode: 43000  return: -4.41   mean: -4.77  time: 10.12s
episode: 43100  return: -4.35   mean: -4.75  time: 10.04s
episode: 43200  return: -4.43   mean: -4.84  time: 10.21s
episode: 43300  return: -5.35   mean: -4.71  time: 10.89s
episode: 43400  return: -6.79   mean: -4.82  time: 10.79s
episode: 43500  return: -5.15   mean: -4.71  time: 10.35s
episode: 43600  return: -5.03   mean: -4.89  time: 9.84s
episode: 43700  return: -4.07   mean: -4.88  time: 10.04s
episode: 43800  return: -5.20   mean: -4.81  time: 10.00s
episode: 43900  return: -4.77   mean: -4.88  time: 9.71s
episode: 44000  return: -4.64   mean: -4.81  time: 9.59s
episode: 44100  return: -4.10   mean: -4.85  time: 9.40s
episode: 44200  return: -5.29   mean: -4.87  time: 9.44s
episode: 44300  return: -4.82   mean: -4.81  time: 10.07s
episode: 44400  return: -5.80   mean: -4.75  time: 10.01s
episode: 44500  return: -4.20   mean: -4.79  time: 10.67s
episode: 44600  return: -6.25   mean: -4.74  time: 11.05s
episode: 44700  return: -5.63   mean: -4.77  time: 10.80s
episode: 44800  return: -5.10   mean: -4.75  time: 10.39s
episode: 44900  return: -3.96   mean: -5.02  time: 10.88s
episode: 45000  return: -4.21   mean: -4.75  time: 10.03s
episode: 45100  return: -4.90   mean: -4.61  time: 10.22s
episode: 45200  return: -5.46   mean: -4.85  time: 9.71s
episode: 45300  return: -4.02   mean: -4.77  time: 10.82s
episode: 45400  return: -3.74   mean: -4.80  time: 9.41s
episode: 45500  return: -5.25   mean: -4.79  time: 9.91s
episode: 45600  return: -4.12   mean: -4.81  time: 9.89s
episode: 45700  return: -4.02   mean: -4.85  time: 9.69s
episode: 45800  return: -4.68   mean: -4.82  time: 9.78s
episode: 45900  return: -5.88   mean: -4.82  time: 9.92s
episode: 46000  return: -4.56   mean: -4.80  time: 9.74s
episode: 46100  return: -3.75   mean: -4.66  time: 10.76s
episode: 46200  return: -5.39   mean: -4.69  time: 10.19s
episode: 46300  return: -4.81   mean: -4.80  time: 10.58s
episode: 46400  return: -4.04   mean: -4.86  time: 10.12s
episode: 46500  return: -4.62   mean: -4.74  time: 9.87s
episode: 46600  return: -5.27   mean: -4.73  time: 9.74s
